gene_id	symbol	population	n_private_rare	n_high_rare	n_low_rare	n_total_variants	rare_burden_pct	froh	froh_z
TTN	TTN	GWD	66	0	19	1907	3.46	0.0321	0.669
TTN	TTN	CHS	49	2	12	1907	2.57	0.0171	-0.815
TTN	TTN	PEL	47	1	17	1907	2.46	0.0314	0.594
TTN	TTN	IBS	42	1	9	1907	2.2	0.0205	-0.48
MUC16	MUC16	GWD	41	1	8	1197	3.43	0.0321	0.669
TTN	TTN	YRI	41	2	13	1907	2.15	0.0171	-0.815
TTN	TTN	LWK	40	0	11	1907	2.1	0.0191	-0.618
TTN	TTN	PUR	38	1	12	1907	1.99	0.028	0.264
TTN	TTN	CEU	36	0	12	1907	1.89	0.0169	-0.843
TTN	TTN	PJL	34	1	13	1907	1.78	0.0571	3.145
TTN	TTN	KHV	33	1	8	1907	1.73	0.0189	-0.64
OBSCN	OBSCN	GWD	32	1	10	906	3.53	0.0321	0.669
MUC16	MUC16	CHS	27	0	11	1197	2.26	0.0171	-0.815
TTN	TTN	CLM	27	1	10	1907	1.42	0.0338	0.838
TTN	TTN	ESN	27	0	9	1907	1.42	0.0245	-0.082
TTN	TTN	BEB	26	1	6	1907	1.36	0.0275	0.215
OBSCN	OBSCN	CHS	25	0	9	906	2.76	0.0171	-0.815
HMCN2	HMCN2	GWD	24	2	7	560	4.29	0.0321	0.669
LAMA5	LAMA5	GWD	24	0	7	493	4.87	0.0321	0.669
TTN	TTN	MXL	24	0	7	1907	1.26	0.0255	0.015
SPTBN5	SPTBN5	GWD	23	0	9	381	6.04	0.0321	0.669
MUC16	MUC16	BEB	22	0	3	1197	1.84	0.0275	0.215
MUC16	MUC16	PEL	22	1	5	1197	1.84	0.0314	0.594
MUC16	MUC16	PJL	22	0	10	1197	1.84	0.0571	3.145
OBSCN	OBSCN	MSL	22	0	9	906	2.43	0.0166	-0.873
PKD1	PKD1	CHS	22	0	10	606	3.63	0.0171	-0.815
SETBP1	SETBP1	GWD	22	0	19	483	4.55	0.0321	0.669
SYNE1	SYNE1	CHS	22	0	11	484	4.55	0.0171	-0.815
SYNE1	SYNE1	GWD	22	0	6	484	4.55	0.0321	0.669
AHNAK2	AHNAK2	LWK	20	1	11	1533	1.3	0.0191	-0.618
LOC400499	LOC400499	PJL	20	2	4	526	3.8	0.0571	3.145
STARD9	STARD9	GWD	20	1	8	320	6.25	0.0321	0.669
CDH23	CDH23	GWD	19	0	9	315	6.03	0.0321	0.669
DNAH10	DNAH10	GWD	19	0	8	327	5.81	0.0321	0.669
DST	DST	CHS	19	0	5	422	4.5	0.0171	-0.815
MUC16	MUC16	MXL	19	0	7	1197	1.59	0.0255	0.015
OBSCN	OBSCN	ESN	19	1	5	906	2.1	0.0245	-0.082
OBSCN	OBSCN	PEL	19	2	4	906	2.1	0.0314	0.594
AHNAK2	AHNAK2	PEL	18	0	7	1533	1.17	0.0314	0.594
MUC12	MUC12	CHS	18	0	3	634	2.84	0.0171	-0.815
MUC19	MUC19	GWD	18	5	5	958	1.88	0.0321	0.669
MUC5B	MUC5B	GWD	18	0	10	922	1.95	0.0321	0.669
OBSCN	OBSCN	CEU	18	0	7	906	1.99	0.0169	-0.843
PLEC	PLEC	GWD	18	0	8	672	2.68	0.0321	0.669
TTN	TTN	MSL	18	0	6	1907	0.94	0.0166	-0.873
AHNAK	AHNAK	GWD	17	0	3	521	3.26	0.0321	0.669
AHNAK2	AHNAK2	GWD	17	2	2	1533	1.11	0.0321	0.669
CACNA1H	CACNA1H	GWD	17	2	6	422	4.03	0.0321	0.669
EPPK1	EPPK1	GWD	17	0	7	448	3.79	0.0321	0.669
MUC16	MUC16	IBS	17	1	1	1197	1.42	0.0205	-0.48
OBSCN	OBSCN	IBS	17	0	6	906	1.88	0.0205	-0.48
OBSCN	OBSCN	PJL	17	0	6	906	1.88	0.0571	3.145
PIEZO1	PIEZO1	GWD	17	0	11	388	4.38	0.0321	0.669
PKD1	PKD1	GWD	17	0	9	606	2.81	0.0321	0.669
PKD1	PKD1	PJL	17	0	6	606	2.81	0.0571	3.145
TTN	TTN	STU	17	0	3	1907	0.89	0.0494	2.379
AHNAK2	AHNAK2	ESN	16	0	3	1533	1.04	0.0245	-0.082
FLG	FLG	GWD	16	0	3	783	2.04	0.0321	0.669
LOC400499	LOC400499	GWD	16	2	2	526	3.04	0.0321	0.669
MUC16	MUC16	YRI	16	0	5	1197	1.34	0.0171	-0.815
MUC5AC	MUC5AC	CEU	16	1	5	693	2.31	0.0169	-0.843
MUC5AC	MUC5AC	IBS	16	1	6	693	2.31	0.0205	-0.48
MYO15B	MYO15B	GWD	16	3	4	428	3.74	0.0321	0.669
NEB	NEB	GWD	16	0	4	498	3.21	0.0321	0.669
OBSCN	OBSCN	YRI	16	1	5	906	1.77	0.0171	-0.815
PLEC	PLEC	CHS	16	0	5	672	2.38	0.0171	-0.815
RNF213	RNF213	GWD	16	2	3	415	3.86	0.0321	0.669
TTN	TTN	CDX	16	0	6	1907	0.84	0.0276	0.218
AHNAK2	AHNAK2	CLM	15	0	5	1533	0.98	0.0338	0.838
DNAH17	DNAH17	GWD	15	0	9	524	2.86	0.0321	0.669
HIVEP2	HIVEP2	BEB	15	0	14	394	3.81	0.0275	0.215
HMCN2	HMCN2	LWK	15	0	9	560	2.68	0.0191	-0.618
LAMA5	LAMA5	CHS	15	0	3	493	3.04	0.0171	-0.815
MACF1	MACF1	PEL	15	0	6	388	3.87	0.0314	0.594
MUC16	MUC16	CEU	15	0	5	1197	1.25	0.0169	-0.843
MUC17	MUC17	GWD	15	0	7	668	2.25	0.0321	0.669
PDE1C	PDE1C	CHS	15	2	12	362	4.14	0.0171	-0.815
PLEC	PLEC	CLM	15	0	6	672	2.23	0.0338	0.838
PLEC	PLEC	PJL	15	1	3	672	2.23	0.0571	3.145
PLEC	PLEC	YRI	15	0	7	672	2.23	0.0171	-0.815
RNF213	RNF213	ITU	15	0	6	415	3.61	0.0384	1.295
SYNE1	SYNE1	IBS	15	2	6	484	3.1	0.0205	-0.48
SYNE2	SYNE2	GWD	15	1	8	471	3.18	0.0321	0.669
TRIO	TRIO	YRI	15	0	8	396	3.79	0.0171	-0.815
TTN	TTN	ACB	15	0	4	1907	0.79	0.0154	-0.983
TTN	TTN	JPT	15	0	4	1907	0.79	0.0219	-0.344
AHNAK2	AHNAK2	CEU	14	0	6	1533	0.91	0.0169	-0.843
CHD6	CHD6	GWD	14	0	11	325	4.31	0.0321	0.669
CNTN4	CNTN4	GWD	14	0	13	495	2.83	0.0321	0.669
HMCN2	HMCN2	CHS	14	1	4	560	2.5	0.0171	-0.815
HSPG2	HSPG2	GWD	14	0	8	431	3.25	0.0321	0.669
LOC400499	LOC400499	CHS	14	1	6	526	2.66	0.0171	-0.815
MUC16	MUC16	CLM	14	0	2	1197	1.17	0.0338	0.838
MUC16	MUC16	ESN	14	0	3	1197	1.17	0.0245	-0.082
MUC16	MUC16	PUR	14	1	2	1197	1.17	0.028	0.264
MUC19	MUC19	CEU	14	2	3	958	1.46	0.0169	-0.843
MUC19	MUC19	ESN	14	1	5	958	1.46	0.0245	-0.082
OBSCN	OBSCN	ACB	14	3	5	906	1.55	0.0154	-0.983
PKD1	PKD1	KHV	14	0	4	606	2.31	0.0189	-0.64
PKD1	PKD1	PEL	14	0	5	606	2.31	0.0314	0.594
ADGRV1	ADGRV1	PJL	13	0	1	357	3.64	0.0571	3.145
DNAH1	DNAH1	GWD	13	0	5	318	4.09	0.0321	0.669
DNAH14	DNAH14	KHV	13	9	2	339	3.83	0.0189	-0.64
DST	DST	GWD	13	1	3	422	3.08	0.0321	0.669
FLG	FLG	ACB	13	0	2	783	1.66	0.0154	-0.983
GSE1	GSE1	BEB	13	0	7	432	3.01	0.0275	0.215
GSE1	GSE1	YRI	13	0	6	432	3.01	0.0171	-0.815
HMCN2	HMCN2	PJL	13	0	3	560	2.32	0.0571	3.145
HSPG2	HSPG2	CHS	13	0	3	431	3.02	0.0171	-0.815
MACF1	MACF1	CHS	13	0	5	388	3.35	0.0171	-0.815
MACF1	MACF1	GWD	13	1	5	388	3.35	0.0321	0.669
MACF1	MACF1	YRI	13	0	4	388	3.35	0.0171	-0.815
MUC16	MUC16	LWK	13	0	7	1197	1.09	0.0191	-0.618
MUC16	MUC16	STU	13	0	7	1197	1.09	0.0494	2.379
MUC17	MUC17	YRI	13	0	3	668	1.95	0.0171	-0.815
MUC19	MUC19	BEB	13	3	3	958	1.36	0.0275	0.215
MUC5AC	MUC5AC	GWD	13	1	7	693	1.88	0.0321	0.669
MUC5B	MUC5B	PEL	13	0	4	922	1.41	0.0314	0.594
NEB	NEB	PEL	13	0	4	498	2.61	0.0314	0.594
OBSCN	OBSCN	BEB	13	0	6	906	1.43	0.0275	0.215
PKD1	PKD1	CEU	13	0	6	606	2.15	0.0169	-0.843
PKD1	PKD1	IBS	13	0	5	606	2.15	0.0205	-0.48
PKD1	PKD1	YRI	13	0	4	606	2.15	0.0171	-0.815
PLEC	PLEC	BEB	13	0	7	672	1.93	0.0275	0.215
SYNE1	SYNE1	CEU	13	1	4	484	2.69	0.0169	-0.843
SYNE2	SYNE2	CHS	13	0	3	471	2.76	0.0171	-0.815
SYNE2	SYNE2	MXL	13	1	4	471	2.76	0.0255	0.015
SYNE2	SYNE2	PEL	13	0	7	471	2.76	0.0314	0.594
ABCA13	ABCA13	GWD	12	1	7	344	3.49	0.0321	0.669
CACNA1H	CACNA1H	CHS	12	1	4	422	2.84	0.0171	-0.815
CNTN4	CNTN4	BEB	12	0	12	495	2.42	0.0275	0.215
CNTN4	CNTN4	KHV	12	0	11	495	2.42	0.0189	-0.64
DNAH17	DNAH17	IBS	12	0	3	524	2.29	0.0205	-0.48
DST	DST	IBS	12	1	5	422	2.84	0.0205	-0.48
FCGBP	FCGBP	CHS	12	0	4	454	2.64	0.0171	-0.815
FLG	FLG	CEU	12	2	3	783	1.53	0.0169	-0.843
FLG	FLG	CHS	12	2	4	783	1.53	0.0171	-0.815
HMCN2	HMCN2	CEU	12	1	6	560	2.14	0.0169	-0.843
HMCN2	HMCN2	STU	12	0	4	560	2.14	0.0494	2.379
LAMA5	LAMA5	ESN	12	0	5	493	2.43	0.0245	-0.082
LAMA5	LAMA5	IBS	12	0	5	493	2.43	0.0205	-0.48
MUC12	MUC12	BEB	12	1	5	634	1.89	0.0275	0.215
MUC17	MUC17	CHS	12	0	4	668	1.8	0.0171	-0.815
MUC4	MUC4	LWK	12	0	3	1816	0.66	0.0191	-0.618
MUC4	MUC4	PJL	12	3	6	1816	0.66	0.0571	3.145
MUC5B	MUC5B	PJL	12	0	6	922	1.3	0.0571	3.145
PKD1	PKD1	BEB	12	0	6	606	1.98	0.0275	0.215
RNF213	RNF213	CHS	12	1	3	415	2.89	0.0171	-0.815
RYR1	RYR1	GWD	12	0	6	339	3.54	0.0321	0.669
SETBP1	SETBP1	MXL	12	0	10	483	2.48	0.0255	0.015
SETBP1	SETBP1	PEL	12	0	11	483	2.48	0.0314	0.594
STARD9	STARD9	IBS	12	0	5	320	3.75	0.0205	-0.48
SYNE1	SYNE1	PJL	12	0	3	484	2.48	0.0571	3.145
TRIO	TRIO	GWD	12	0	7	396	3.03	0.0321	0.669
ABCA13	ABCA13	CHS	11	1	3	344	3.2	0.0171	-0.815
AHNAK	AHNAK	MSL	11	0	3	521	2.11	0.0166	-0.873
AHNAK2	AHNAK2	BEB	11	0	8	1533	0.72	0.0275	0.215
AHNAK2	AHNAK2	IBS	11	0	5	1533	0.72	0.0205	-0.48
AHNAK2	AHNAK2	MXL	11	0	4	1533	0.72	0.0255	0.015
AHNAK2	AHNAK2	PUR	11	0	5	1533	0.72	0.028	0.264
CACNA1H	CACNA1H	PJL	11	0	5	422	2.61	0.0571	3.145
CDH23	CDH23	CEU	11	0	6	315	3.49	0.0169	-0.843
CDH23	CDH23	CHS	11	0	4	315	3.49	0.0171	-0.815
CHD6	CHD6	YRI	11	0	9	325	3.38	0.0171	-0.815
CSMD1	CSMD1	GWD	11	0	8	316	3.48	0.0321	0.669
CSMD1	CSMD1	KHV	11	0	2	316	3.48	0.0189	-0.64
DNAH10	DNAH10	CHS	11	0	2	327	3.36	0.0171	-0.815
DNAH14	DNAH14	IBS	11	2	3	339	3.24	0.0205	-0.48
DNAH17	DNAH17	CEU	11	1	6	524	2.1	0.0169	-0.843
DNAH17	DNAH17	CHS	11	0	5	524	2.1	0.0171	-0.815
DNAH17	DNAH17	MXL	11	0	4	524	2.1	0.0255	0.015
DNAH17	DNAH17	PEL	11	0	6	524	2.1	0.0314	0.594
FCGBP	FCGBP	YRI	11	0	5	454	2.42	0.0171	-0.815
FLG	FLG	BEB	11	2	4	783	1.4	0.0275	0.215
FLG	FLG	JPT	11	1	4	783	1.4	0.0219	-0.344
FLG	FLG	PJL	11	2	3	783	1.4	0.0571	3.145
GSE1	GSE1	GWD	11	0	8	432	2.55	0.0321	0.669
HMCN2	HMCN2	BEB	11	1	3	560	1.96	0.0275	0.215
HMCN2	HMCN2	PUR	11	0	5	560	1.96	0.028	0.264
HSPG2	HSPG2	LWK	11	0	6	431	2.55	0.0191	-0.618
HYDIN	HYDIN	YRI	11	0	4	316	3.48	0.0171	-0.815
LOC400499	LOC400499	IBS	11	1	2	526	2.09	0.0205	-0.48
MUC12	MUC12	GWD	11	0	4	634	1.74	0.0321	0.669
MUC16	MUC16	MSL	11	2	4	1197	0.92	0.0166	-0.873
MUC17	MUC17	BEB	11	1	4	668	1.65	0.0275	0.215
MUC19	MUC19	IBS	11	2	4	958	1.15	0.0205	-0.48
MUC19	MUC19	KHV	11	0	7	958	1.15	0.0189	-0.64
MUC19	MUC19	PJL	11	1	1	958	1.15	0.0571	3.145
MUC4	MUC4	GWD	11	0	2	1816	0.61	0.0321	0.669
MUC4	MUC4	STU	11	1	0	1816	0.61	0.0494	2.379
MUC5AC	MUC5AC	CHS	11	1	5	693	1.59	0.0171	-0.815
NEB	NEB	CHS	11	1	3	498	2.21	0.0171	-0.815
OBSCN	OBSCN	GIH	11	0	3	906	1.21	0.0235	-0.186
PDE1C	PDE1C	YRI	11	1	9	362	3.04	0.0171	-0.815
PIEZO1	PIEZO1	IBS	11	0	4	388	2.84	0.0205	-0.48
PIEZO1	PIEZO1	PJL	11	0	3	388	2.84	0.0571	3.145
PKD1	PKD1	MXL	11	0	3	606	1.82	0.0255	0.015
PLEC	PLEC	ASW	11	0	7	672	1.64	0.0161	-0.919
PLEC	PLEC	IBS	11	0	6	672	1.64	0.0205	-0.48
PLEC	PLEC	JPT	11	0	8	672	1.64	0.0219	-0.344
PLEC	PLEC	KHV	11	2	6	672	1.64	0.0189	-0.64
RNF213	RNF213	LWK	11	0	5	415	2.65	0.0191	-0.618
SETBP1	SETBP1	BEB	11	0	9	483	2.28	0.0275	0.215
SETBP1	SETBP1	ESN	11	0	8	483	2.28	0.0245	-0.082
SETBP1	SETBP1	IBS	11	0	9	483	2.28	0.0205	-0.48
SETBP1	SETBP1	YRI	11	0	9	483	2.28	0.0171	-0.815
SPTBN5	SPTBN5	MXL	11	1	3	381	2.89	0.0255	0.015
STARD9	STARD9	BEB	11	0	6	320	3.44	0.0275	0.215
ZNF469	ZNF469	CHS	11	0	3	379	2.9	0.0171	-0.815
ADGRV1	ADGRV1	CEU	10	0	1	357	2.8	0.0169	-0.843
AHNAK	AHNAK	IBS	10	0	3	521	1.92	0.0205	-0.48
CACNA1H	CACNA1H	LWK	10	0	5	422	2.37	0.0191	-0.618
CNTN4	CNTN4	IBS	10	5	5	495	2.02	0.0205	-0.48
CNTN4	CNTN4	LWK	10	0	9	495	2.02	0.0191	-0.618
CNTN4	CNTN4	YRI	10	0	10	495	2.02	0.0171	-0.815
DNAH1	DNAH1	ESN	10	0	6	318	3.14	0.0245	-0.082
DNAH1	DNAH1	PJL	10	0	5	318	3.14	0.0571	3.145
DNAH10	DNAH10	YRI	10	0	4	327	3.06	0.0171	-0.815
DST	DST	CLM	10	0	4	422	2.37	0.0338	0.838
DST	DST	LWK	10	0	3	422	2.37	0.0191	-0.618
DST	DST	PJL	10	0	1	422	2.37	0.0571	3.145
EPPK1	EPPK1	CHS	10	0	3	448	2.23	0.0171	-0.815
EPPK1	EPPK1	IBS	10	0	7	448	2.23	0.0205	-0.48
FCGBP	FCGBP	LWK	10	3	2	454	2.2	0.0191	-0.618
FLG	FLG	YRI	10	0	1	783	1.28	0.0171	-0.815
GSE1	GSE1	ESN	10	0	9	432	2.31	0.0245	-0.082
GSE1	GSE1	PJL	10	0	4	432	2.31	0.0571	3.145
HIVEP2	HIVEP2	ESN	10	0	8	394	2.54	0.0245	-0.082
HIVEP2	HIVEP2	GWD	10	1	8	394	2.54	0.0321	0.669
HMCN2	HMCN2	ESN	10	0	4	560	1.79	0.0245	-0.082
HSPG2	HSPG2	MXL	10	0	3	431	2.32	0.0255	0.015
HSPG2	HSPG2	YRI	10	0	5	431	2.32	0.0171	-0.815
HYDIN	HYDIN	LWK	10	0	6	316	3.16	0.0191	-0.618
HYDIN	HYDIN	PJL	10	0	3	316	3.16	0.0571	3.145
MACF1	MACF1	PJL	10	0	3	388	2.58	0.0571	3.145
MUC12	MUC12	CEU	10	2	1	634	1.58	0.0169	-0.843
MUC12	MUC12	PEL	10	0	4	634	1.58	0.0314	0.594
MUC17	MUC17	CEU	10	1	6	668	1.5	0.0169	-0.843
MUC17	MUC17	IBS	10	1	2	668	1.5	0.0205	-0.48
MUC17	MUC17	KHV	10	1	2	668	1.5	0.0189	-0.64
MUC4	MUC4	CEU	10	0	3	1816	0.55	0.0169	-0.843
MUC4	MUC4	PEL	10	0	4	1816	0.55	0.0314	0.594
MUC4	MUC4	YRI	10	1	3	1816	0.55	0.0171	-0.815
MUC5B	MUC5B	ASW	10	0	3	922	1.08	0.0161	-0.919
MYO15B	MYO15B	MXL	10	0	5	428	2.34	0.0255	0.015
NEB	NEB	YRI	10	0	6	498	2.01	0.0171	-0.815
OBSCN	OBSCN	STU	10	0	3	906	1.1	0.0494	2.379
PKD1	PKD1	ESN	10	0	3	606	1.65	0.0245	-0.082
PLEC	PLEC	PUR	10	0	4	672	1.49	0.028	0.264
RNF213	RNF213	IBS	10	0	6	415	2.41	0.0205	-0.48
SETBP1	SETBP1	CHS	10	0	9	483	2.07	0.0171	-0.815
SPTBN5	SPTBN5	ITU	10	0	3	381	2.62	0.0384	1.295
SPTBN5	SPTBN5	PUR	10	1	3	381	2.62	0.028	0.264
SYNE1	SYNE1	ESN	10	2	3	484	2.07	0.0245	-0.082
SYNE1	SYNE1	KHV	10	1	7	484	2.07	0.0189	-0.64
TRIO	TRIO	BEB	10	0	7	396	2.53	0.0275	0.215
TRIO	TRIO	CHS	10	0	6	396	2.53	0.0171	-0.815
TTN	TTN	GIH	10	0	3	1907	0.52	0.0235	-0.186
ADGRV1	ADGRV1	LWK	9	0	5	357	2.52	0.0191	-0.618
ADGRV1	ADGRV1	PEL	9	0	4	357	2.52	0.0314	0.594
AHNAK	AHNAK	PJL	9	0	4	521	1.73	0.0571	3.145
CACNA1H	CACNA1H	PEL	9	0	3	422	2.13	0.0314	0.594
CDH23	CDH23	BEB	9	0	5	315	2.86	0.0275	0.215
CHD6	CHD6	IBS	9	0	7	325	2.77	0.0205	-0.48
CHD6	CHD6	MXL	9	0	8	325	2.77	0.0255	0.015
CNTN4	CNTN4	CHS	9	0	6	495	1.82	0.0171	-0.815
CNTN4	CNTN4	ESN	9	0	9	495	1.82	0.0245	-0.082
CSMD1	CSMD1	CHS	9	0	6	316	2.85	0.0171	-0.815
CSMD1	CSMD1	PUR	9	0	4	316	2.85	0.028	0.264
DNAH11	DNAH11	CHS	9	0	3	352	2.56	0.0171	-0.815
DNAH14	DNAH14	CEU	9	1	3	339	2.65	0.0169	-0.843
DNAH14	DNAH14	GWD	9	0	3	339	2.65	0.0321	0.669
DNAH17	DNAH17	PJL	9	0	6	524	1.72	0.0571	3.145
EPPK1	EPPK1	CEU	9	0	2	448	2.01	0.0169	-0.843
EPPK1	EPPK1	ESN	9	1	2	448	2.01	0.0245	-0.082
GSE1	GSE1	LWK	9	0	4	432	2.08	0.0191	-0.618
GSE1	GSE1	PEL	9	0	5	432	2.08	0.0314	0.594
HIVEP2	HIVEP2	CLM	9	0	6	394	2.28	0.0338	0.838
HIVEP2	HIVEP2	PJL	9	0	6	394	2.28	0.0571	3.145
HIVEP2	HIVEP2	YRI	9	0	8	394	2.28	0.0171	-0.815
HMCN2	HMCN2	PEL	9	0	3	560	1.61	0.0314	0.594
HSPG2	HSPG2	CEU	9	0	4	431	2.09	0.0169	-0.843
HYDIN	HYDIN	GWD	9	0	2	316	2.85	0.0321	0.669
MACF1	MACF1	CEU	9	0	0	388	2.32	0.0169	-0.843
MACF1	MACF1	IBS	9	1	1	388	2.32	0.0205	-0.48
MUC12	MUC12	YRI	9	0	1	634	1.42	0.0171	-0.815
MUC19	MUC19	ASW	9	1	2	958	0.94	0.0161	-0.919
MUC19	MUC19	CHS	9	0	2	958	0.94	0.0171	-0.815
MUC19	MUC19	JPT	9	2	4	958	0.94	0.0219	-0.344
MUC19	MUC19	YRI	9	4	1	958	0.94	0.0171	-0.815
MUC5AC	MUC5AC	ESN	9	0	4	693	1.3	0.0245	-0.082
MUC5AC	MUC5AC	PEL	9	1	2	693	1.3	0.0314	0.594
MUC5AC	MUC5AC	PJL	9	1	1	693	1.3	0.0571	3.145
MUC5B	MUC5B	BEB	9	0	4	922	0.98	0.0275	0.215
MUC5B	MUC5B	CEU	9	0	4	922	0.98	0.0169	-0.843
MYO15B	MYO15B	YRI	9	0	2	428	2.1	0.0171	-0.815
NEB	NEB	CLM	9	1	2	498	1.81	0.0338	0.838
NEB	NEB	PJL	9	0	3	498	1.81	0.0571	3.145
OBSCN	OBSCN	CLM	9	1	0	906	0.99	0.0338	0.838
OBSCN	OBSCN	JPT	9	1	3	906	0.99	0.0219	-0.344
OBSCN	OBSCN	LWK	9	0	4	906	0.99	0.0191	-0.618
PDE1C	PDE1C	GWD	9	0	8	362	2.49	0.0321	0.669
PDE1C	PDE1C	IBS	9	0	7	362	2.49	0.0205	-0.48
PIEZO1	PIEZO1	PEL	9	0	5	388	2.32	0.0314	0.594
RYR1	RYR1	CEU	9	1	2	339	2.65	0.0169	-0.843
RYR1	RYR1	CHS	9	0	3	339	2.65	0.0171	-0.815
SPTBN5	SPTBN5	IBS	9	1	3	381	2.36	0.0205	-0.48
SYNE1	SYNE1	LWK	9	0	3	484	1.86	0.0191	-0.618
SYNE1	SYNE1	MXL	9	1	4	484	1.86	0.0255	0.015
SYNE2	SYNE2	ACB	9	0	1	471	1.91	0.0154	-0.983
TTN	TTN	ITU	9	0	0	1907	0.47	0.0384	1.295
ZNF469	ZNF469	PEL	9	0	4	379	2.37	0.0314	0.594
ABCA13	ABCA13	LWK	8	0	2	344	2.33	0.0191	-0.618
ABCA13	ABCA13	YRI	8	0	3	344	2.33	0.0171	-0.815
AHNAK	AHNAK	KHV	8	0	1	521	1.54	0.0189	-0.64
AHNAK2	AHNAK2	ACB	8	0	1	1533	0.52	0.0154	-0.983
AHNAK2	AHNAK2	PJL	8	0	4	1533	0.52	0.0571	3.145
AHNAK2	AHNAK2	YRI	8	1	2	1533	0.52	0.0171	-0.815
CDH23	CDH23	MXL	8	0	4	315	2.54	0.0255	0.015
CDH23	CDH23	YRI	8	1	0	315	2.54	0.0171	-0.815
CHD6	CHD6	KHV	8	0	5	325	2.46	0.0189	-0.64
CHD6	CHD6	PEL	8	0	7	325	2.46	0.0314	0.594
CNTN4	CNTN4	PJL	8	0	7	495	1.62	0.0571	3.145
DNAH10	DNAH10	PEL	8	0	3	327	2.45	0.0314	0.594
DNAH10	DNAH10	PUR	8	0	5	327	2.45	0.028	0.264
DNAH11	DNAH11	ESN	8	0	1	352	2.27	0.0245	-0.082
DNAH11	DNAH11	LWK	8	0	3	352	2.27	0.0191	-0.618
DNAH17	DNAH17	JPT	8	0	2	524	1.53	0.0219	-0.344
DNAH17	DNAH17	KHV	8	1	4	524	1.53	0.0189	-0.64
DNAH17	DNAH17	LWK	8	0	5	524	1.53	0.0191	-0.618
DST	DST	CEU	8	0	3	422	1.9	0.0169	-0.843
DST	DST	PEL	8	0	3	422	1.9	0.0314	0.594
DST	DST	YRI	8	0	3	422	1.9	0.0171	-0.815
FCGBP	FCGBP	GWD	8	0	3	454	1.76	0.0321	0.669
FLG	FLG	MXL	8	1	1	783	1.02	0.0255	0.015
FLG	FLG	PUR	8	2	1	783	1.02	0.028	0.264
FLG	FLG	STU	8	1	2	783	1.02	0.0494	2.379
GSE1	GSE1	CEU	8	0	7	432	1.85	0.0169	-0.843
GSE1	GSE1	CHS	8	1	4	432	1.85	0.0171	-0.815
GSE1	GSE1	KHV	8	0	5	432	1.85	0.0189	-0.64
GSE1	GSE1	PUR	8	0	4	432	1.85	0.028	0.264
HIVEP2	HIVEP2	IBS	8	0	6	394	2.03	0.0205	-0.48
HSPG2	HSPG2	IBS	8	0	1	431	1.86	0.0205	-0.48
HSPG2	HSPG2	KHV	8	0	3	431	1.86	0.0189	-0.64
HYDIN	HYDIN	CHS	8	0	3	316	2.53	0.0171	-0.815
HYDIN	HYDIN	CLM	8	1	2	316	2.53	0.0338	0.838
LAMA5	LAMA5	ASW	8	0	5	493	1.62	0.0161	-0.919
LOC400499	LOC400499	LWK	8	0	5	526	1.52	0.0191	-0.618
LOC400499	LOC400499	YRI	8	0	1	526	1.52	0.0171	-0.815
MACF1	MACF1	ESN	8	0	2	388	2.06	0.0245	-0.082
MACF1	MACF1	LWK	8	0	4	388	2.06	0.0191	-0.618
MUC12	MUC12	ASW	8	0	1	634	1.26	0.0161	-0.919
MUC16	MUC16	ACB	8	0	2	1197	0.67	0.0154	-0.983
MUC16	MUC16	GIH	8	0	0	1197	0.67	0.0235	-0.186
MUC16	MUC16	ITU	8	1	2	1197	0.67	0.0384	1.295
MUC16	MUC16	KHV	8	0	1	1197	0.67	0.0189	-0.64
MUC17	MUC17	PUR	8	0	3	668	1.2	0.028	0.264
MUC19	MUC19	PEL	8	1	2	958	0.84	0.0314	0.594
MUC19	MUC19	PUR	8	3	1	958	0.84	0.028	0.264
MUC4	MUC4	JPT	8	2	1	1816	0.44	0.0219	-0.344
MUC5AC	MUC5AC	CLM	8	0	3	693	1.15	0.0338	0.838
MUC5AC	MUC5AC	MXL	8	1	3	693	1.15	0.0255	0.015
MUC5AC	MUC5AC	STU	8	0	5	693	1.15	0.0494	2.379
MUC5B	MUC5B	CHS	8	0	4	922	0.87	0.0171	-0.815
MUC5B	MUC5B	ESN	8	0	3	922	0.87	0.0245	-0.082
MUC5B	MUC5B	IBS	8	0	2	922	0.87	0.0205	-0.48
MUC5B	MUC5B	KHV	8	0	1	922	0.87	0.0189	-0.64
MUC5B	MUC5B	LWK	8	0	4	922	0.87	0.0191	-0.618
MUC5B	MUC5B	PUR	8	2	1	922	0.87	0.028	0.264
MYO15B	MYO15B	PUR	8	0	2	428	1.87	0.028	0.264
OBSCN	OBSCN	MXL	8	1	1	906	0.88	0.0255	0.015
OBSCN	OBSCN	PUR	8	0	3	906	0.88	0.028	0.264
PDE1C	PDE1C	ESN	8	0	7	362	2.21	0.0245	-0.082
PIEZO1	PIEZO1	CHS	8	0	2	388	2.06	0.0171	-0.815
PIEZO1	PIEZO1	YRI	8	1	4	388	2.06	0.0171	-0.815
PKD1	PKD1	LWK	8	0	5	606	1.32	0.0191	-0.618
PLEC	PLEC	CEU	8	0	6	672	1.19	0.0169	-0.843
PLEC	PLEC	LWK	8	0	5	672	1.19	0.0191	-0.618
RNF213	RNF213	PEL	8	0	5	415	1.93	0.0314	0.594
RYR1	RYR1	PEL	8	0	3	339	2.36	0.0314	0.594
