sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG01984	UNKNOWN		0.001311	3	0.035328	1312	18	-0.3029	-1.2512	0.0409	12.6115	11.5283	-0.256	-0.5152	0.1052
HG01985	ACB	African	0.000857	2	0.046396	3785	38	2.8655	0.1923	0.162	-2.8819	7.9095	-1.076	1.5294	1.105
HG01986	ACB	African	0.002707	5	0.045497	4245	37	2.7854	0.5159	0.0601	-2.4948	7.4705	-0.8876	1.5863	0.9452
HG01987	UNKNOWN		0.0047	5	0.045469	3356	33	2.1446	0.3242	-0.1053	-1.7332	8.9398	-0.8166	1.0698	0.8565
HG01988	ACB	African	0.005186	11	0.043023	2384	27	0.9683	0.2417	-0.2088	10.1993	9.6465	-0.5053	0.3937	0.6188
HG01989	ACB	African	0.004067	8	0.046726	3114	28	1.8182	0.3208	-0.6052	0.1565	9.2234	-0.8669	0.6613	0.9952
HG01990	ACB	African	0.00497	8	0.044336	3678	49	2.8649	1.0125	1.2508	-2.2154	4.8565	-0.6663	2.2539	0.7444
HG01991	PEL	American	0.001533	3	0.030262	840	10	-1.3895	-1.7647	-0.0421	16.2928	10.1145	0.1106	-1.192	-0.353
HG01992	PEL	American	0.003724	7	0.025806	757	11	-1.9862	-1.5538	0.4621	16.9877	9.3856	0.583	-1.1461	-0.8425
HG01993	UNKNOWN		0.003241	6	0.030853	951	12	-1.3308	-1.3796	0.0265	16.1824	9.7298	0.1885	-1.0247	-0.3746
HG01997	PEL	American	0.005524	12	0.028231	944	11	-1.893	-1.0141	0.1649	16.6502	9.2789	0.5745	-1.0952	-0.7057
HG01998	UNKNOWN		0.00426	10	0.027973	984	8	-1.9491	-1.297	-0.0529	16.6569	9.2622	0.5087	-1.2898	-0.6738
HG02002	PEL	American	0.003324	7	0.030519	977	18	-1.0892	-1.1469	0.5449	14.3182	11.6176	0.2353	-0.6065	-0.4078
HG02003	PEL	American	0.007995	9	0.025772	857	10	-2.1668	-1.1949	0.342	16.8775	9.2468	0.7737	-1.1874	-1.0304
HG02004	UNKNOWN		0.003026	7	0.025968	925	11	-1.8802	-1.5522	0.4167	16.9733	9.4337	0.5473	-1.1003	-0.7979
HG02006	PEL	American	0.002665	5	0.040419	1891	15	0.1789	-0.8213	-0.821	11.5356	10.1335	-0.5293	-0.5629	0.4974
HG02008	PEL	American	0.004311	8	0.031517	1027	11	-1.3799	-1.184	-0.1466	15.8563	9.535	0.2189	-1.0725	-0.3622
HG02009	ACB	African	0.002163	5	0.042692	3776	41	2.5274	0.3939	0.7519	-2.3511	7.0331	-0.7077	1.7325	0.7204
HG02010	ACB	African	0.003405	8	0.04534	3708	31	2.1148	0.4435	-0.3341	-0.3619	8.7285	-0.7917	1.0287	0.9012
HG02011	UNKNOWN		0.003803	7	0.04294	3213	32	1.7464	0.2379	0.0772	-0.7227	8.5446	-0.6281	0.9623	0.6714
