go_id	go_name	aspect	n_fg	n_bg	pct_fg	pval	padj	odds_ratio	genes
GO:0006811	monoatomic ion transport	biological_process	1	643	1.3	7.40e-01	8.65e-01	0.746	KCNE1
GO:0032991	protein-containing complex	cellular_component	1	739	1.3	7.88e-01	8.94e-01	0.647	CRYAA
GO:0006915	apoptotic process	biological_process	1	728	1.3	7.83e-01	8.94e-01	0.657	CRYAA
GO:0042802	identical protein binding	molecular_function	2	1685	2.6	8.70e-01	9.76e-01	0.56	CRYAA,SMN1
GO:0016020	membrane	cellular_component	13	8245	16.7	9.00e-01	9.99e-01	0.712	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1,KCNE1
GO:0005615	extracellular space	cellular_component	1	1516	1.3	9.60e-01	1.00e+00	0.309	IGHV3-13
GO:0070062			1	2035	1.3	9.87e-01	1.00e+00	0.227	IGHV3-7
GO:0005829	cytosol	cellular_component	2	5301	2.6	1.00e+00	1.00e+00	0.16	CRYAA,SMN1
GO:0003723	RNA binding	molecular_function	1	1460	1.3	9.55e-01	1.00e+00	0.321	SMN1
GO:0005654	nucleoplasm	cellular_component	2	3847	2.6	9.98e-01	1.00e+00	0.231	CRYAA,SMN1
GO:0005737	cytoplasm	cellular_component	2	7093	2.6	1.00e+00	1.00e+00	0.113	CRYAA,SMN1
GO:0005515	protein binding	molecular_function	3	13448	3.8	1.00e+00	1.00e+00	0.072	CRYAA,KCNE1,SMN1
GO:0042995	cell projection	cellular_component	1	1287	1.3	9.34e-01	1.00e+00	0.366	SMN1
GO:0005634	nucleus	cellular_component	2	6286	2.6	1.00e+00	1.00e+00	0.131	CRYAA,SMN1
GO:0046872	metal ion binding	molecular_function	1	3859	1.3	1.00e+00	1.00e+00	0.113	CRYAA
